Cap,Nº carateres, totpos, quanpos, totneg, quanneg,palavras,rationeg
0,2502,3.5,4,14.5,15,425,0.5815602836879432
1,19376,88.0,103,141.0,157,3287,0.5815602836879432
2,21152,88.5,96,131.5,140,3544,0.5815602836879432
3,24978,107.0,124,234.0,259,4199,0.5815602836879432
4,29914,123.0,145,184.0,209,4938,0.5815602836879432
